time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2018/04/09/18:37:33.848526,1077,1523324253,635101499,map,0.372753143311,-0.0347633361816,0.0,0.0,0.0,-0.970000093648,0.243104541963
2018/04/09/18:37:33.984442,1078,1523324253,773077948,map,0.368267059326,-0.0551414489746,0.0,0.0,0.0,-0.957868482113,0.287207191719
2018/04/09/18:37:34.133147,1079,1523324253,911278619,map,0.359306335449,-0.074104309082,0.0,0.0,0.0,-0.944688629729,0.327968585174
2018/04/09/18:37:34.274902,1080,1523324254,64640892,map,0.350749969482,-0.0918273925781,0.0,0.0,0.0,-0.935094344432,0.354398881222
2018/04/09/18:37:34.427479,1081,1523324254,202477184,map,0.341316223145,-0.112289428711,0.0,0.0,0.0,-0.928271041579,0.371904387397
2018/04/09/18:37:34.564022,1082,1523324254,356151486,map,0.327117919922,-0.133666992188,0.0,0.0,0.0,-0.926795229187,0.375567042158
2018/04/09/18:37:34.716392,1083,1523324254,493924804,map,0.304943084717,-0.154232025146,0.0,0.0,0.0,-0.925292261532,0.379254836157
2018/04/09/18:37:34.847228,1084,1523324254,647114664,map,0.289855957031,-0.176345825195,0.0,0.0,0.0,-0.924702866986,0.380689647597
2018/04/09/18:37:34.987896,1085,1523324254,785514085,map,0.275993347168,-0.200126647949,0.0,0.0,0.0,-0.923742068408,0.383015131624
2018/04/09/18:37:35.152752,1086,1523324254,923392233,map,0.248687744141,-0.223178863525,0.0,0.0,0.0,-0.93078293228,0.365572336174
2018/04/09/18:37:35.286488,1087,1523324255,76610830,map,0.222373962402,-0.235126495361,0.0,0.0,0.0,-0.947670859422,0.319249028507
2018/04/09/18:37:35.441308,1088,1523324255,214477747,map,0.186187744141,-0.232124328613,0.0,0.0,0.0,-0.965525921663,0.260306923835
2018/04/09/18:37:35.580812,1089,1523324255,367720920,map,0.157238006592,-0.226131439209,0.0,0.0,0.0,-0.980285121711,0.197588157924
2018/04/09/18:37:35.695254,1090,1523324255,506057911,map,0.15128326416,-0.213069915771,0.0,0.0,0.0,-0.985861368035,0.167563012077
2018/04/09/18:37:35.855313,1091,1523324255,643744831,map,0.151927947998,-0.214366912842,0.0,0.0,0.0,-0.985278218731,0.170958567189
2018/04/09/18:37:35.990992,1092,1523324255,797168514,map,0.151805877686,-0.212623596191,0.0,0.0,0.0,-0.985139148251,0.171758139786
2018/04/09/18:37:36.133718,1093,1523324255,935281668,map,0.158283233643,-0.214057922363,0.0,0.0,0.0,-0.983052357621,0.183325017867
2018/04/09/18:37:36.286991,1094,1523324256,73293288,map,0.167259216309,-0.218143463135,0.0,0.0,0.0,-0.979415028474,0.201856884944
2018/04/09/18:37:36.428176,1095,1523324256,226719084,map,0.176536560059,-0.219440460205,0.0,0.0,0.0,-0.97561439985,0.219491555203
2018/04/09/18:37:36.577668,1096,1523324256,364491156,map,0.188213348389,-0.21947479248,0.0,0.0,0.0,-0.97145710015,0.23721530846
2018/04/09/18:37:36.784944,1097,1523324256,517741658,map,0.201133728027,-0.219486236572,0.0,0.0,0.0,-0.966916628735,0.255092597061
2018/04/09/18:37:36.845888,1098,1523324256,655980956,map,0.214458465576,-0.215324401855,0.0,0.0,0.0,-0.962305382413,0.271971231894
2018/04/09/18:37:37.006618,1099,1523324256,793724708,map,0.224681854248,-0.208045959473,0.0,0.0,0.0,-0.959961067989,0.280133446673
2018/04/09/18:37:37.151458,1100,1523324256,947321607,map,0.235942840576,-0.199394226074,0.0,0.0,0.0,-0.960291969551,0.278997012914
2018/04/09/18:37:37.301521,1101,1523324257,85228557,map,0.250205993652,-0.190937042236,0.0,0.0,0.0,-0.960203385648,0.279301733237
